MXASSETNUM,C,12;DESCRIPTIO,C,105;MINTDISTRI,C,20;NOMBRE_DIS,C,25;MINTBARRIO,C,10;NOMBRE_BAR,C,50;MINTZONA,C,20;INSTALLDAT,D;MINTTIPOVI,C,15;MINTNOMBRE,C,254;MINTNUMERO,C,25;MINTNDP,C,20;TIPO,C,254;TOTAL_ELEM,N,10,0;ESTADO,C,50
7107704;M0817 - Mayores PLAZA PICO DE LA SALVAGUARDA;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;04/06/20;PLAZA;PICO SALVAGUARDIA;6;11045500;MAYORES;5;ACTIVO
7107707;M0916 - Mayores RIBERA DEL MANZANARES 111;09;MONCLOA-ARAVACA;091;CASA DE CAMPO;;29/05/20;CALLE;RIBERA DEL MANZANARES;111;11051645;MAYORES;11;ACTIVO
7125612;M0818-Mayores MARIA DE MAEZTU 50;08;FUENCARRAL-EL PARDO;087;MIRASIERRA;;25/06/20;CALLE;IRENE CABA ALBA;6;31036281;MAYORES;5;ACTIVO
7125670;M0819 - Mayores PICO MAJALASNA CV PICO BALAITUS;08;FUENCARRAL-EL PARDO;083;PEÑA GRANDE;;25/06/20;CALLE;PICO DE MAJALASNA;1;20073720;MAYORES;5;ACTIVO
7126078;M1320 - Mayores- CALLE DE LOS VECINOS DEL POZO 18;13;PUENTE DE VALLECAS;131;ENTREVIAS;;29/06/20;CALLE;VECINOS DEL POZO;18;11087486;MAYORES;5;ACTIVO
7126494;M1913- Mayores- CALLE DE LUIS OCAÑA 2;19;VICALVARO;194;EL CAÑAVERAL;;24/06/20;CALLE;LUIS OCAÑA;2;31040476;MAYORES;4;ACTIVO
7126499;M1912- Mayores- CALLE DE VICTORIA KENT 110;19;VICALVARO;194;EL CAÑAVERAL;;24/06/20;CALLE;VICTORIA KENT;110;31040454;MAYORES;4;ACTIVO
7126585;M1914- Mayores- CALLE DE JOSE ESCOBAR Y SALIENTE 36;19;VICALVARO;194;EL CAÑAVERAL;;03/07/20;CALLE;JOSE ESCOBAR Y SALIENTE;36;31047030;MAYORES;4;ACTIVO
7126590;M1915- Mayores- CALLE DE GALES 31;19;VICALVARO;194;EL CAÑAVERAL;;03/07/20;CALLE;GALES;31;31037316;MAYORES;4;ACTIVO
7127773;M0613-Mayores - PZA. POETA LEOPOLDO LUIS;06;TETUAN;061;BELLAS VISTAS;;11/06/20;CALLE;GOIRI;19;31043760;MAYORES;2;ACTIVO
7144040;M0614-Mayores - PZA. SAN GERMÁN;06;TETUAN;063;CASTILLEJOS;;10/09/20;CALLE;LAZAGA;10;31002785;MAYORES;7;ACTIVO
7165658;M0708-Mayores - BRETON DE LOS HERREROS;07;CHAMBERI;075;RIOS ROSAS;;;CALLE;BRETON DE LOS HERREROS;48;11041597;MAYORES;3;ACTIVO
7168554;M0112 - Mayores - CONDE DUQUE;01;CENTRO;015;UNIVERSIDAD;;;CALLE;CONDE DUQUE;11 D;20111381;MAYORES;12;ACTIVO
7168609;M0210-Mayores PLAZA RUTILO GACIS;02;ARGANZUELA;023;CHOPERA;;01/10/20;PLAZA;RUTILIO GACIS;3;11008990;MAYORES;11;ACTIVO
7182696;M1409 - Mayores- AVENIDA DE MORATALAZ 134;14;MORATALAZ;146;VINATEROS;;23/10/20;AVENIDA;MORATALAZ;134;11103177;MAYORES;6;ACTIVO
7239998;M1118-Mayores - CALLE DE VALLE DE ORO 41;11;CARABANCHEL;112;OPAÑEL;;11/11/20;CALLE;VALLE DE ORO;41;31008326;MAYORES;10;ACTIVO
7245849;M1017-MAYORES-CUÑA VERDE CV C/ALHAMBRA;10;LATINA;103;LUCERO;;20/11/20;CALLE;CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN;128;20086530;MAYORES;27;ACTIVO
7247916;M1321 - Mayores- RONDA  SUR 119;13;PUENTE DE VALLECAS;131;ENTREVIAS;;20/11/20;RONDA;SUR;119;11090039;MAYORES;9;ACTIVO
7248199;M1720 - Mayores - PLAZA CHOZA DE CANALES 4;17;VILLAVERDE;174;LOS ROSALES;;17/11/20;PLAZA;CHOZAS DE CANALES;6;11126889;MAYORES;10;ACTIVO
7403980;M1120-Mayores - CALLE DE BESOLLA 5;11;CARABANCHEL;117;ABRANTES;;09/12/20;CALLE;BESOLLA;5;11078680;MAYORES;9;ACTIVO
7537965;M1218 - Mayores - CALLE DE RONDA DE LAS COOPERATIVAS 6;12;USERA;121;ORCASITAS;;28/12/20;RONDA;COOPERATIVAS;6;31024108;MAYORES;11;ACTIVO
7538071;M1219 - Mayores - CALLE DEL CAMINO VIEJO DE VILLAVERDE 36;12;USERA;121;ORCASITAS;;28/12/20;CALLE;CAMINO VIEJO DE VILLAVERDE;23;20179595;MAYORES;11;ACTIVO
7595814;M1509-MAYORES-C TORRELAGUNA 50;15;CIUDAD LINEAL;155;SAN PASCUAL;;25/01/21;CALLE;TORRELAGUNA;50;31015894;MAYORES;12;ACTIVO
7602200;M2014-Mayores-AV INSTITUCION LIBRE DE ENSEÑANZA 147;20;SAN BLAS-CANILLEJAS;204;ARCOS;;02/06/20;AVENIDA;INSTITUCION LIBRE DE ENSEÑANZA;147;20120886;MAYORES;8;ACTIVO
7613890;M0615 - Mayores - PZA. DEL ESTE;06;TETUAN;064;ALMENARA;;08/01/21;PLAZA;ESTE;7;11031940;MAYORES;9;ACTIVO
7838875;M1322 - Mayores- CALLE DE RAMIREZ TOME 21;13;PUENTE DE VALLECAS;135;PORTAZGO;;23/03/21;CALLE;RAMIREZ TOME;21;11097213;MAYORES;7;ACTIVO
7840614;M0113 - Mayores - PARQUE CASINO DE LA REINA (AREA 2);;;;;;;;;;;MAYORES;1;ACTIVO
7861574;M1721 - Mayores - CALLE DE LA CANCION DEL OLVIDO 48;17;VILLAVERDE;175;LOS ANGELES;;07/01/21;CALLE;LA CANCION DEL OLVIDO;48;11129067;MAYORES;13;ACTIVO
7886698;M0821-MAYORES-AVD. DEL FERROL 14 POST.;08;FUENCARRAL-EL PARDO;084;EL PILAR;;06/05/21;AVENIDA;EL FERROL;14;11046292;MAYORES;9;ACTIVO
7895078;M0822-MAYORES-FERROL 29 POST.;08;FUENCARRAL-EL PARDO;084;EL PILAR;;18/05/21;AVENIDA;EL FERROL;29;11046310;MAYORES;8;ACTIVO
7928105;M1917- Mayores- CALLE DEL CERRO DEL TESORO, 2;19;VICALVARO;194;EL CAÑAVERAL;;24/05/21;CALLE;CERRO DEL TESORO;3;31040399;MAYORES;4;ACTIVO
8799604;M0616-MAYORES CALLE BASILICA 17;06;TETUAN;062;CUATRO CAMINOS;;28/03/22;CALLE;BASILICA;17;11029304;MAYORES;5;ACTIVO
7943778;M1124-MAYORES CALLE DE CATALINA LABOURE 1;11;CARABANCHEL;112;OPAÑEL;;01/09/21;CALLE;SANTIAGO PRIETO;16;31033368;MAYORES;6;OPERATIVO
16707;M0201-Mayores CALLE CANARIAS 24;02;ARGANZUELA;026;PALOS DE LA FRONTERA;;;CALLE;CANARIAS;24;11010068;MAYORES;9;ACTIVO
18447;M2004-MAYORES C ALBAIDA 3;20;SAN BLAS-CANILLEJAS;202;HELLIN;;01/01/04;CALLE;ALBAIDA;3;31045409;MAYORES;5;OPERATIVO
18440;M2001-MAYORES C NECTAR 39;20;SAN BLAS-CANILLEJAS;207;CANILLEJAS;;01/01/04;CALLE;NECTAR;39;11138085;MAYORES;11;OPERATIVO
18470;M2007-MAYORES C MARIA SEVILLA DIAGO 2;20;SAN BLAS-CANILLEJAS;205;ROSAS;;01/01/04;CALLE;MARIA SEVILLA DIAGO;2;20075799;MAYORES;5;OPERATIVO
