Year,Month,Zone,WasteType,District,Name,Total
2021,March,1,Clinicians,9,Moncloa - Aravaca,"223,32"
2021,March,1,Clinicians,10,Latina,"24,02"
2021,March,1,Organic,1,Centro,"706,58"
2021,March,1,Organic,6,Tetuán,"809,38"
2021,March,1,Organic,7,Chamberí,"828,12"
2021,March,1,Organic,8,Fuencarral - El Pardo,"1515,48"
2021,March,1,Organic,9,Moncloa - Aravaca,"1001,48"
2021,March,1,Organic,10,Latina,"1308,08"
2021,March,1,Paper,1,Centro,"404,15"
2021,March,1,Paper,6,Tetuán,"370,78"
2021,March,1,Paper,7,Chamberí,"307,25"
2021,March,1,Paper,8,Fuencarral - El Pardo,"605,16"
2021,March,1,Paper,9,Moncloa - Aravaca,"260,95"
2021,March,1,Paper,10,Latina,"332,46"
2021,March,1,Commercial paper,1,Centro,"104,78"
2021,March,1,Commercial paper,6,Tetuán,"79,66"
2021,March,1,Commercial paper,7,Chamberí,"75,7"
2021,March,1,Commercial paper,8,Fuencarral - El Pardo,"2,22"
2021,March,1,Commercial paper,9,Moncloa - Aravaca,"1,06"
2021,March,1,Commercial paper,10,Latina,"3,34"
2021,March,1,CDW,1,Centro,"109,15"
2021,March,1,CDW,6,Tetuán,"88,34"
2021,March,1,CDW,7,Chamberí,"85,73"
2021,March,1,CDW,8,Fuencarral - El Pardo,"161,4"
2021,March,1,CDW,9,Moncloa - Aravaca,"126,935"
2021,March,1,CDW,10,Latina,"107,385"
2021,March,1, Clean points,8,Fuencarral - El Pardo,"152,22"
2021,March,1, Clean points,9,Moncloa - Aravaca,"178,62"
2021,March,1, Clean points,10,Latina,"85,76"
2021,March,1,Clothing containers,8,Fuencarral - El Pardo,"1,08"
2021,March,1,Horse bed,9,Moncloa - Aravaca,"57,41"
2021,March,2,Rest,3,Retiro,"1820,22"
2021,March,2,Rest,4,Salamanca,"2491,54"
2021,March,2,Rest,5,Chamartín,"2253,68"
2021,March,2,Rest,14,Moratalaz,"1312,66"
2021,March,2,Rest,15,Ciudad Lineal,"3286,22"
2021,March,2,Rest,16,Hortaleza,"3228,44"
2021,March,2,Rest,19,Vicálvaro,"2004,16"
2021,March,2,Rest,20,San Blas - Canillejas,"2611,02"
2021,March,2,Rest,21,Barajas,"840,38"
2021,March,2,Packaging,3,Retiro,"288,72"
2021,March,2,Packaging,4,Salamanca,"352,64"
2021,March,2,Packaging,5,Chamartín,"371,14"
2021,March,2,Packaging,14,Moratalaz,"249,74"
2021,March,2,Packaging,15,Ciudad Lineal,"620,66"
2021,March,2,Packaging,16,Hortaleza,"573,66"
2021,March,2,Packaging,19,Vicálvaro,"217,44"
2021,March,2,Packaging,20,San Blas - Canillejas,"477,42"
2021,March,2,Packaging,21,Barajas,"177,98"
2021,March,2,Glass,3,Retiro,"326,44"
2021,March,2,Glass,4,Salamanca,"218,08"
2021,March,2,Glass,5,Chamartín,"497,06"
2021,March,2,Glass,14,Moratalaz,"263,4"
2021,March,2,Glass,15,Ciudad Lineal,"193,68"
2021,March,2,Glass,16,Hortaleza,"146,4"
2021,March,2,Glass,19,Vicálvaro,"93,26"
2021,March,2,Glass,20,San Blas - Canillejas,"249,14"
2021,March,2,Glass,21,Barajas,"97,32"
2021,March,2,Commercial Glass,4,Salamanca,"45,42"
2021,March,2,Clinicians,3,Retiro,"188,72"
2021,March,2,Clinicians,4,Salamanca,"119,92"
2021,March,2,Clinicians,15,Ciudad Lineal,"123,16"
2021,March,2,Organic,3,Retiro,"685,82"
2021,March,2,Organic,4,Salamanca,"830,62"
2021,March,2,Organic,5,Chamartín,"916,72"
2021,March,2,Organic,14,Moratalaz,"450,06"
2021,March,2,Organic,15,Ciudad Lineal,"1130,4"
2021,March,2,Organic,16,Hortaleza,"988,1"
2021,March,2,Organic,19,Vicálvaro,"133,5"
2021,March,2,Organic,20,San Blas - Canillejas,"808,06"
2021,March,2,Organic,21,Barajas,"306,16"
2021,March,2,Paper,3,Retiro,"248,42"
2021,March,2,Paper,4,Salamanca,"418,43"
2021,March,2,Paper,5,Chamartín,"281,59"
2021,March,2,Paper,14,Moratalaz,147
2021,March,2,Paper,15,Ciudad Lineal,"386,53"
2021,March,2,Paper,16,Hortaleza,"276,83"
2021,March,2,Paper,19,Vicálvaro,"40,51"
2021,March,2,Paper,20,San Blas - Canillejas,"313,6"
2021,March,2,Paper,21,Barajas,"45,89"
2021,March,2,Commercial paper,3,Retiro,"58,05"
2021,March,2,Commercial paper,4,Salamanca,"107,35"
2021,March,2,Commercial paper,5,Chamartín,"30,6"
2021,March,2,Commercial paper,14,Moratalaz,"2,72"
2021,March,2,Commercial paper,15,Ciudad Lineal,"39,75"
2021,March,2,Commercial paper,16,Hortaleza,"22,96"
2021,March,2,Commercial paper,19,Vicálvaro,"6,66"
2021,March,2,Commercial paper,20,San Blas - Canillejas,"24,65"
2021,March,2,Commercial paper,21,Barajas,"1,21"
2021,March,2,CDW,3,Retiro,"301,49"
2021,March,2,CDW,5,Chamartín,"33,75"
2021,March,2,CDW,14,Moratalaz,"18,36"
2021,March,2,CDW,15,Ciudad Lineal,"49,02"
2021,March,2,CDW,16,Hortaleza,"21,04"
2021,March,2,CDW,19,Vicálvaro,"5,97"
2021,March,2,CDW,20,San Blas - Canillejas,"27,16"
2021,March,2,CDW,21,Barajas,"10,52"
2021,March,2, Clean points,3,Retiro,"6,36"
2021,March,2, Clean points,5,Chamartín,"129,74"
2021,March,2, Clean points,14,Moratalaz,"64,26"
2021,March,2, Clean points,15,Ciudad Lineal,"74,76"
2021,March,2, Clean points,16,Hortaleza,"75,32"
2021,March,2, Clean points,19,Vicálvaro,"33,5"
2021,March,2, Clean points,20,San Blas - Canillejas,"83,72"
2021,March,2, Clean points,21,Barajas,"43,48"
2021,March,3,Rest,2,Arganzuela,"1939,02"
2021,March,3,Rest,11,Carabanchel,"4597,3"
