Any,Mes,Desc_Mes,Temperatura
1826,1,Gener,5.4
1826,2,Febrer,9.1
1826,3,Març,9.8
1826,4,Abril,12.2
1826,5,Maig,13.5
1826,6,Juny,18.5
1826,7,Juliol,21.8
1826,8,Agost,23.6
1826,9,Setembre,19.8
1826,10,Octubre,16.1
1826,11,Novembre,8.5
1826,12,Desembre,8.2
1827,1,Gener,7.0
1827,2,Febrer,5.4
1827,3,Març,9.5
1827,4,Abril,11.2
1827,5,Maig,13.2
1827,6,Juny,16.5
1827,7,Juliol,24.1
1827,8,Agost,22.3
1827,9,Setembre,18.5
1827,10,Octubre,15.2
1827,11,Novembre,10.5
1827,12,Desembre,8.4
1828,1,Gener,8.9
1828,2,Febrer,8.2
1828,3,Març,10.0
1828,4,Abril,12.1
1828,5,Maig,16.1
1828,6,Juny,20.0
1828,7,Juliol,23.1
1828,8,Agost,22.7
1828,9,Setembre,20.4
1828,10,Octubre,15.4
1828,11,Novembre,12.0
1828,12,Desembre,8.4
1829,1,Gener,6.7
1829,2,Febrer,7.7
1829,3,Març,10.9
1829,4,Abril,13.1
1829,5,Maig,15.2
1829,6,Juny,18.1
1829,7,Juliol,20.8
1829,8,Agost,20.1
1829,9,Setembre,17.4
1829,10,Octubre,13.3
1829,11,Novembre,10.0
1829,12,Desembre,5.3
1830,1,Gener,4.1
1830,2,Febrer,6.5
1830,3,Març,10.4
1830,4,Abril,14.7
1830,5,Maig,16.0
1830,6,Juny,18.4
1830,7,Juliol,22.7
1830,8,Agost,21.6
1830,9,Setembre,17.8
1830,10,Octubre,15.0
1830,11,Novembre,12.4
1830,12,Desembre,7.6
1831,1,Gener,8.1
1831,2,Febrer,9.7
1831,3,Març,11.7
1831,4,Abril,12.9
1831,5,Maig,17.0
1831,6,Juny,20.6
1831,7,Juliol,22.2
1831,8,Agost,21.6
1831,9,Setembre,17.8
1831,10,Octubre,16.9
1831,11,Novembre,11.4
1831,12,Desembre,8.7
1832,1,Gener,7.7
1832,2,Febrer,8.0
1832,3,Març,9.2
1832,4,Abril,11.2
1832,5,Maig,15.7
1832,6,Juny,18.9
1832,7,Juliol,22.7
1832,8,Agost,22.7
1832,9,Setembre,19.3
1832,10,Octubre,15.8
1832,11,Novembre,11.5
1832,12,Desembre,7.6
1833,1,Gener,8.1
1833,2,Febrer,10.4
1833,3,Març,8.1
1833,4,Abril,11.7
1833,5,Maig,17.5
1833,6,Juny,20.2
1833,7,Juliol,20.1
1833,8,Agost,20.3
1833,9,Setembre,16.0
1833,10,Octubre,14.2
1833,11,Novembre,10.9
1833,12,Desembre,9.5
1834,1,Gener,10.1
1834,2,Febrer,8.6
1834,3,Març,10.4
1834,4,Abril,11.5
1834,5,Maig,16.8
1834,6,Juny,18.6
1834,7,Juliol,21.7
1834,8,Agost,21.2
1834,9,Setembre,20.8
1834,10,Octubre,15.6
1834,11,Novembre,11.4
1834,12,Desembre,7.2
1835,1,Gener,7.8
1835,2,Febrer,9.0
1835,3,Març,9.9
1835,4,Abril,11.6
1835,5,Maig,14.4
1835,6,Juny,17.2
1835,7,Juliol,22.0
1835,8,Agost,21.1
1835,9,Setembre,18.4
1835,10,Octubre,14.2
1835,11,Novembre,9.5
1835,12,Desembre,6.3
1836,1,Gener,6.7
1836,2,Febrer,7.1
1836,3,Març,10.6
1836,4,Abril,10.2
1836,5,Maig,11.8
1836,6,Juny,18.6
1836,7,Juliol,22.6
1836,8,Agost,21.6
1836,9,Setembre,17.6
1836,10,Octubre,15.6
1836,11,Novembre,10.4
1836,12,Desembre,7.3
1837,1,Gener,6.2
1837,2,Febrer,8.9
1837,3,Març,6.5
1837,4,Abril,9.5
1837,5,Maig,13.4
1837,6,Juny,20.0
1837,7,Juliol,22.3
1837,8,Agost,22.9
1837,9,Setembre,18.5
1837,10,Octubre,14.9
1837,11,Novembre,10.1
1837,12,Desembre,8.8
1838,1,Gener,7.2
1838,2,Febrer,8.4
1838,3,Març,10.3
1838,4,Abril,10.7
1838,5,Maig,15.2
