name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Puppet Theatre Barge,Blomfield Road (opposite 35),,,Westminster,http://www.puppetbarge.com/Controllers/homepage.php,10033556397,E09000033,Little Venice,E05013799,51.52224162,-0.18632704,525924.6354999999,181928.05010000058
The Other Palace,12 Palace St, Westminster,,Westminster,https://www.theotherpalace.co.uk/,10033568019,E09000033,St James's,E05013806,51.49923634,-0.143692437,528947.199,179443.9955000002
The Lyceum Theatre,21 Wellington St,,,Westminster,https://www.thelyceumtheatre.com/,10033572107,E09000033,St James's,E05013806,51.51193352,-0.121719838,530435.9881999996,180894.83349999972
Charing Cross Theatre,The Arches, Villiers St,,Westminster,http://www.charingcrosstheatre.co.uk/,10033582545,E09000033,St James's,E05013806,51.50859876,-0.125703378,530169.0834999997,180516.91929999925
Criterion Theatre,218-223 Piccadilly, St. James's,,Westminster,https://www.criterion-theatre.co.uk/,10033582954,E09000033,West End,E05013808,51.51020844,-0.135292471,529499.1111000003,180678.92190000042
Sarah Siddons Theatre,City of Westminster College, Paddington Green Campus,,Westminster,https://www.cwc.ac.uk/private-hire/sarah-siddons-theatre,10033614767,E09000033,Little Venice,E05013799,51.5213937,-0.176027204,526641.5072999997,181851.51810000092
Novello Theatre,Aldwych, London,,Westminster,http://www.novellotheatrelondon.info/,10033615106,E09000033,St James's,E05013806,51.51301144,-0.121040927,530480.0169000002,181015.90809999965
Normansfield Theatre,The Langdon Down Centre, Normansfield, 2A Langdon Park,Richmond upon Thames,https://langdondowncentre.org.uk/normansfield-theatre/,10070711098,E09000027,Hampton Wick & South Teddington,E05013780,51.41950034,-0.315912836,517197.7355000004,170288.04590000026
QEH Southbank Centre,Belvedere Rd, Lambeth,,Lambeth,https://www.southbankcentre.co.uk/venues/queen-elizabeth-hall,10090198178,E09000022,Waterloo & South Bank,E05014118,51.50717504,-0.117552648,530738.7551999995,180373.11510000005
"St Johns, Waterloo",73 Waterloo Rd, Lambeth,,Lambeth,NA,10090199534,E09000022,Waterloo & South Bank,E05014118,51.50499811,-0.113579398,531020.7188999997,180138.13749999925
Park Theatre,Clifton Terrace, Finsbury Park,,Islington,https://www.parktheatre.co.uk/,10090266645,E09000019,Finsbury Park,E05013703,51.56617243,-0.110020818,531091.9041999998,186947.18510000035
Blue Elephant Theatre,59A Bethwin Rd, Camberwell,,Southwark,http://www.blueelephanttheatre.co.uk/,10090283293,E09000028,Camberwell Green,E05011096,51.48065992,-0.099891942,532040.8502000002,177456.2809999995
Cada Water Theatre,21 Surrey Quays Road,,,Southwark,http://canadawaterculturespace.org.uk/,10090284129,E09000028,Rotherhithe,E05011112,51.49832275,-0.050768479,535399.4066000003,179510.0781999994
Theatre Utopia,1 Matthews Yard, Croydon,,Croydon,http://www.matthewsyard.com/,10090382144,E09000008,Fairfield,E05011468,51.37268811,-0.102698376,532156.8982999995,165444.7195999995
The Bridge Theatre,3 Potters Fields Park,,,Southwark,https://bridgetheatre.co.uk/,10090749570,E09000028,London Bridge & West Bermondsey,E05011104,51.50414492,-0.078830885,533434.6701999996,180105.98980000056
The CLF Art Café,Block A, Bussey Building, 133 Rye Lane,Southwark,https://www.clfartcafe.org/theatre,10090750261,E09000028,Rye Lane,E05011113,51.47042121,-0.069824735,534158.5809000004,176372.36810000055
Sam Wamaker Playhouse,21 New Globe Walk,,,Southwark,http://www.shakespearesglobe.com/theatre/whats-on/sam-wanamaker-playhouse,10090750983,E09000028,Borough & Bankside,E05011095,51.50862325,-0.098181097,532078.8447000002,180568.90440000035
The Vaults,Leake Street,Lambeth,,Lambeth,https://www.thevaults.london/,10091121720,E09000022,Waterloo & South Bank,E05014118,51.50247048,-0.117556057,530751.9808999998,179849.95859999955
Cervantes Theatre,Arch 26, Old Union Arches, 229 Union Street,Southwark,http://www.cervantestheatre.com/,10091668523,E09000028,Borough & Bankside,E05011095,51.5038606,-0.103379478,531731.8481999999,180029.9375
Hackney Showroom,Hackney Downs Studios, Amhurst Terrace,,Hackney,NA,10091775026,E09000012,Stoke Newington,E05009385,51.55496024,-0.069737442,533916.6425999999,185773.38829999976
Bernie Grant Arts Centre,Town Hall Approach Rd, Tottenham Green,,Haringey,https://www.berniegrantcentre.co.uk/,10091817474,E09000014,Tottenham Central,E05013601,51.58808293,-0.074008677,533523.6184,189448.89890000038
London Theatre,443 New Cross Rd, New Cross,,Lewisham,http://www.thelondontheatre.com/,10091838199,E09000023,Deptford,E05013719,51.47634389,-0.03180711,536781.2147000004,177101.28940000013
Theatre503,503 Battersea Park Rd,,,Wandsworth,https://theatre503.com/,10091845630,E09000032,St Mary's,E05014018,51.47244361,-0.167282835,527384.4341000002,176423.3378999997
Chiswick Playhouse,2 Bath Rd, Chiswick,,Hounslow,http://tabardtheatre.co.uk/,10091854897,E09000018,Chiswick Homefields,E05013610,51.49643256,-0.255056571,521225.1730000004,178942.10339999944
The Place,17 Duke's Rd, Bloomsbury,,Camden,https://www.theplace.org.uk/,10091861254,E09000007,St Pancras & Somers Town,E05013669,51.52781091,-0.130565311,529777.0987999998,182644.70160000026
Kings Place,90 York Way, Kings Cross,,Camden,https://www.kingsplace.co.uk/,10091871351,E09000007,King's Cross,E05013666,51.53474842,-0.123577178,530242.0256000003,183428.56340000033
Battersea Power Station Village Hall,188 Kirtling St,,,Wandsworth,https://www.bac.org.uk/content/40704/to_archive/consultation_sessions_circus_west_village_hall_battersea,10091874090,E09000032,Nine Elms,E05014015,51.48170708,-0.142272912,529095.1920999996,177497.21759999916
Regents Park Open Air Theatre,Inner Circle,,,Westminster,https://openairtheatre.com/,10091898189,E09000033,Regent's Park,E05013805,51.52880735,-0.156039804,528007.3098999998,182710.67650000006
Waterloo East Theatre,Brad St, Lambeth,,Lambeth,https://www.waterlooeast.co.uk/,10091908867,E09000022,Waterloo & South Bank,E05014118,51.50460339,-0.111517693,531164.9293999998,180097.93370000087
Katzpace,Katzenjammers, 24 Southwark Street,,Southwark,https://www.katzpace.co.uk/,10093339191,E09000028,Borough & Bankside,E05011095,51.50540364,-0.092624576,532473.7573999995,180220.91740000062
Bunker Theatre,53A Southwark St,,,Southwark,https://www.bunkertheatre.com/,10093341165,E09000028,Borough & Bankside,E05011095,51.5051726,-0.096077229,532234.8223000001,180188.9877000004
Ryan Theatre,5 Yew Walk, Harrow,,Harrow,https://www.tagvenue.com/rooms/middlesex/1654/harrow-school/ryan-theatre,100021296924,E09000015,Harrow on the Hill,E05013547,51.57331899,-0.341300733,515044.9071000004,187353.1587000005
The Bread & Roses Theatre,68 Clapham Manor St,,,Lambeth,https://www.breadandrosestheatre.co.uk/,100021824058,E09000022,Clapham Town,E05014102,51.46690969,-0.138482219,529400.1925999997,175858.40450000018
The Royal Vauxhall Tavern,372 Kennington Lane, Vauxhall,,Lambeth,http://www.vauxhalltavern.com/,100021856165,E09000022,Vauxhall,E05014117,51.4870039,-0.121405222,530528.9941999996,178123.19830000028
White Bear Theatre,138 Kennington Park Rd, Kennington,,Lambeth,https://www.whitebeartheatre.co.uk/,100021856679,E09000022,Kennington,E05014105,51.48722009,-0.109658371,531343.8974000001,178168.22880000062
Landor Space,70 Landor Rd, Clapham North,,Lambeth,https://www.landorspace.com/,100021861916,E09000022,Clapham East,E05014100,51.46618085,-0.127632228,530155.8562000003,175796.5672999993
Fellowship Inn,Randlesdown Rd,,,Lewisham,https://www.phoenixch.org.uk/community/fellowship-inn,100021998208,E09000023,Bellingham,E05013714,51.43323126,-0.021849412,537602.1754999999,172325.8457999993
