name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,latitude,longitude,easting,northing
Deptford Cinema,,39 Deptford Broadway,SE8 4PQ,Lewisham,,100021951303,E09000023,Deptford,E05013719,51.474395,-0.02469115,537281.2040999997,176897.8895999994
East Dulwich Picturehouse & Cafe,,116a Lordship Lane,SE22 8HD,Southwark,,10091663747,E09000028,Goose Green,E05011103,51.456441,-0.07633579,533747.2150999997,174805.8735000007
Electric Cinema Portobello,,191 Portobello Road,W11 2ED,Kensington and Chelsea,,217069435,E09000020,Colville,E05009392,51.515523,-0.20509019,524641.3300000001,181148.83300000057
Electric Cinema Shoreditch,,64-66 Redchurch Street,E2 7DP,Tower Hamlets,,6002678,E09000030,Weavers,E05009335,51.524359,-0.07393604,533715.1721000001,182362.75709999911
Empire Cinema Haymarket ,,63-65 Haymarket,SW1Y 4RL,Westminster,,10033536286,E09000033,St James's,E05013806,51.508757,-0.13230892,529710.2604999999,180522.79880000092
Empire Walthamstow ,,267 High St,E17 7FD,Waltham Forest,,200001433603,E09000031,High Street,E05013891,51.58495,-0.02003,537272.1174999997,189200.41119999997
Everyman Baker Street,,96-98 Baker St,W1U 6TJ,Westminster,,10033604376,E09000033,Marylebone,E05013801,51.52051,-0.15652,527997.2604,181787.15809999965
Everyman Belsize Park,,203 Haverstock Hill,"NW3 4QG
",Camden,,5050403,E09000007,Belsize,E05013652,51.550718,-0.16607356,527250.2434,185129.6941999998
Everyman Canary Wharf,,Crossrail Place Level -2,E14 5AR,Tower Hamlets,,6198197,E09000030,Canary Wharf,E05009323,51.506132,-0.01784306,537661.1331000002,180439.85869999975
Everyman Hampstead,,5 Hollybush Vale,NW3 6TX,Camden,,5090728,E09000007,Frognal,E05013657,51.556441,-0.17902839,526336.2598000001,185743.6774000004
Everyman Kings Cross,,14-18 Handyside Street,N1C 4BP ,Camden,,5172384,E09000007,King's Cross,E05013666,51.537446,-0.12738561,529970.2193,183721.77119999938
Everyman Maida Vale,,215 Sutherland Ave,W9 1RU,Westminster,,100023509417,E09000033,Little Venice,E05013799,51.527986,-0.18174976,526226.2889,182574.7162999995
Everyman Muswell Hill,,Fortis Green Rd,N10 3HP,Haringey,,100023143835,E09000014,Muswell Hill,E05013594,51.589604,-0.14621733,528517.2377000004,189488.6621000003
Everyman Screen on the Green,,83 Upper Street,N1 0NP ,Islington,,5300094504,E09000019,St Mary's & St James',E05013710,51.536886,-0.10374609,531611.1967000002,183701.7268000003
Gate Picturehouse,,87 Notting Hill Gate,W11 3JZ,Kensington and Chelsea,,10091855182,E09000020,Campden,E05009390,51.508739,-0.19727249,525202.3338000001,180407.76970000006
Genesis Cinema,,93-95 Mile End Road,E1 4UJ ,Tower Hamlets,,6033507,E09000030,Bethnal Green,E05009317,51.521466,-0.0512395,535298.1445000004,182082.77190000005
Greenwich Picturehouse,,180 Greenwhich Rd,SE10 8NN,Greenwich,,200001082727,E09000011,Greenwich Park,E05014081,51.479438,-0.00969721,538307.1964999996,177486.86959999986
Hackney Picturehouse,,270 Mare Street,E8 1HE,Hackney,,100023014120,E09000012,Homerton,E05009376,51.544856,-0.05501405,534967.1380000003,184676.84520000033
Ham Yard Hotel,,1 Ham Yard,W1D 7DT,Westminster,,10033623171,E09000033,West End,E05013808,51.511159,-0.1346174,529543.2586000003,180785.81880000047
ICA,,The Mall,SW1Y 5AH,Westminster,,100023349547,E09000033,St James's,E05013806,51.506409,-0.13112246,529799.2621999998,180263.80030000024
Imperial College Union Cinema,Imperial College,Beit Quad,SW7 2BB,Westminster,,10033585054,E09000033,Knightsbridge & Belgravia,E05013797,51.50039,-0.17819,526549.6385000004,179512.1327999998
JW3,,341-351 Finchley Road,NW3 6ET,Camden,,5164899,E09000007,West Hampstead,E05013671,51.550911,-0.18481686,525950.2608000003,185118.74870000035
Kino Bermondsey,,10 Bermondsey Square,SE1 3UN,Southwark,,10013529054,E09000028,London Bridge & West Bermondsey,E05011104,51.497693,-0.08085215,533313.2182999998,179384.85060000047
