tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;Municipio URIs;direccion_via_codigo;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;horario_acceso;codigo_dea
Centro educativo;Pública;042;Colmenar del Arroyo;https://www.wikidata.org/wiki/Q1751939;Calle Escuelas 1  ;28213;CEIP SAN VICENTE - SECRETARIA ;398237;4474900;L a V 7:30 A 17:00;2019-2711
Establecimiento dependiente de una Administración Pública;Pública;903;Tres Cantos;https://www.wikidata.org/wiki/Q910410;Sect Escultores 10  ;28760;COMANDANCIA DE LA GUARDIA CIVIL JUNTO TALLERES DEL GATI;439812;4496120;24 H;2020-625
Centro educativo;Pública;132;San Martín de la Vega;https://www.wikidata.org/wiki/Q959612;Avda De Los Abogados De Atocha 16  ;28330;CEIP SAN MARCOS ;451607;4451591;07:00 A 18:00;2017-31
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Calle Del Camino Del Cura 10  ;28109;HALL DE ENTRADA PLANTA BAJA DEL CENTRO COMERCIAL CENTRO COMERCIAL EL ENCINAR;445347;4484375;HORARIO APERTURA PUBLICO CENTRO COMERCIAL;2019-2694
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Mirador De La Reina 123  ;28035;GIMNASIO DE LA COMUNIDAD - PLANTA BAJA ;439204;4482479;24H;2020-626
Centro educativo;Pública;058;Fuenlabrada;https://www.wikidata.org/wiki/Q54902;Calle De Segovia 1  ;28941;HALL- -( pared despacho equipo DIRECTIVO) ;431618;4460438;8:00 A L8:00H ;2018-1260
Centro educativo;Pública;106;Parla;https://www.wikidata.org/wiki/Q824651;Calle Felipe Ii 15 Baja ;28982;JUNTO A ESCALERA DE LA DCHA. FRENTE A AULA MUSICA CEIP MIGUEL DELIBES;435180;4454086;HORARIO ESCOLAR;2018-1734
Centro educativo;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Sorzano 1  ;28043;EN EL HALL DE ENTRADA, A MANO DERECHA CEIP SAN JUAN BAUTISTA;444104;4478048;7.30-18;2018-901
Centro de trabajo con más de 250 trabajadores;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Ctra De Fuencarral 98  ;28108;EUROPAC ALCOBENDAS PAPELES Y CARTONES DE EUROPA;444059;4485957;;2020-635
Centro educativo;Privada;049;Coslada;https://www.wikidata.org/wiki/Q164197;Calle De Maches Gómez 4  ;28821;COLEGIO VIRGEN DEL HENAR ;452176;4475402;8:30 - 17 H.;2018-1855
Establecimiento dependiente de una Administración Pública;Pública;148;Torrejón de Ardoz;https://www.wikidata.org/wiki/Q489839;Calle Madrid 5 1 ;28850;CENTRO DE MAYORES CALLE MADRID EN PLANTA 1ª DE CENTRO COMERCIAL;459418;4479231;DE 10:00 A 21:00 DE LUNES A DOMINGO EXCEPTO AGOSTO;2019-2208
Establecimiento dependiente de una Administración Pública;Pública;148;Torrejón de Ardoz;https://www.wikidata.org/wiki/Q489839;Calle Lisboa 47  ;28850;CENTRO DE MAYORES VEREDILLAS ;460121;4479343;lunes a viernes de 10 a 13:30 y de 16:30 a 19:00;2019-2207
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Doctor Esquerdo 53  ;28028;CONSERJERIA COLEGIO SANTA ANA Y SAN RAFAEL;443284;4474747;;2020-640
Otros;Privada;007;Alcorcón;https://www.wikidata.org/wiki/Q10372;Calle Local Comun 78  ;28922;;427298;4465687;;2019-2745
Otros;Privada;006;Alcobendas;https://www.wikidata.org/wiki/Q487679;Avda De La Transición Española   ;28108;ENTRADA OFICINAS EDIF.GAMMA P.E. OMEGA;447082;4487664;8-20;2020-11
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Calderilla 1  ;28054;ENTRADA A LA TIENDA C.C. ISLA AZUL;437400;4468394;7-22;2020-12
Otros;Privada;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Calle Del Bronce 20 1 ;28500;ENTRADA PRINCIPAL SALA DE FORMACIÓN PRIMERA PLANTA DEL EDIFICIO;459312;4461250;8-20;2020-13
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Ctra De Villaverde A Vallecas 3,5  ;28053;DESFIBRILADOR EN VEHÍCULO ;444539;4468573;24h;2020-157
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Pasillo Entre Accesos 11 Y 13 11 7 ;28007;;443635;4474419;10-18 h ;2020-281
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Paseo De La Castellana Sn  ;28046;DESNTRO ESTACION DE MAETRO PLAZA DE CASTILLA ANDEN I LINEA 10;441576;4479796;DE 6:00 A 1:30 H;2018-2779
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De América 9  ;28002;DENTRO ESTACION AVENIDA DE AMERICA PASILLO DISTRIBUIDOR NIVEL 1 -DESDE VESTIBULO PEDRO VALDIVIA L9;442572;4476562;DE 6:00 A 1:30;2018-2769
Instalaciones de transporte;Pública;092;Móstoles;https://www.wikidata.org/wiki/Q187826;Plaza Del Pradillo 0  ;28931;DENTRO DELA ESTACIÓN DE METRO PRADILLO EN VESTÍBULO;426550;4463798;;2018-3070
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 91 E.M.T.;442158;4481299;DE 5 A 0.30;2020-555
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 90 E.M.T.;442158;4481299;DE 5 A 0.30;2020-556
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 89 E.M.T.;442158;4481299;DE 5 A 0.30;2020-557
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 88 E.M.T.;442158;4481299;DE 5 A 0.30;2020-558
Establecimiento hotelero con más de 100 plazas;Privada;090;Moralzarzal;https://www.wikidata.org/wiki/Q1646201;Calle Borrico Parra 29  ;28411;RECEPCIÓN CAMPING LOS HERRENES DEL REVENTÓN;419069;4503128;24H;2020-564
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ramírez De Prado 5  ;28045;AMAZON WEB SERVICES EMEA SARL ;441518;4472330;;2020-566
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Ramírez De Prado 5  ;28045;AMAZON WEB SERVICES EMEA SARL ;441518;4472330;HORARIO OFICINA;2020-567
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Isabel Colbrand 8 1 ;28050;portal 8 pasillo 4 ;443083;4484933;24H - 7 D;2020-574
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Retama 1 Baja ;28045;PLANTA BAJA ERICSSON ;442741;4471792;;2017-220
Otros;Pública;148;Torrejón de Ardoz;https://www.wikidata.org/wiki/Q489839;Calle Cádiz 457  ;28850;PLANTA BAJA, PASILLO CENTRAL JUNTO GUARDAS SEGURIDAD ;461826;4480071;;2019-2934
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Lagasca 120  ;28006;AL LADO DE RECEPCIÓN ;441970;4476312;8-23;2020-133
Otros;Pública;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Plaza Del Mediterráneo 7  ;28500;** DISPOSITIVO MOVIL VEHICULO POLICIA LOCAL SEDE POLICÍA LOCAL;463367;4460812;;2020-242
Otros;Pública;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Avda Del Mediterráneo 7  ;28500;**DISPOSITIVO MOVIL INSTALADO EN VEHICULO POLICIA LOCAL;463367;4460812;;2020-243
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Acuario 27  ;28042;COMEDOR PRINCIPAL CENTRO DE DIA ACUARIO 2;450834;4480624;8-19;2020-245
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Santa Engracia 118  ;28003;PASILLO DE ENFERMERÍA CENTRO DE DIA SANTA ENGRACIA 2;440603;4476866;8-19;2020-247
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Manresa 1  ;28034;comedor principal CENTRO DE DIA FRAY LUIS 2;441492;4482546;8-19;2020-248
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Casino 5  ;28005;SALA DE LA PLANTA BAJA CENTRO DE DIA CASINO 2;440125;4473125;;2020-249
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del General Urrutia 1  ;28048;PASILLO ENFRENTE DE ENFERMERÍA CENTRO DE DIA EL PARDO 2;434357;4482276;8:15-18:00;2020-251
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Santa Brígida 12  ;28004;DESPACHO DE ENFERMERIA CENTRO DE DIA ESCUELA SAN ANTON 2;440708;4475098;8-19;2020-252
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Isla Malaita 13  ;28035;RECEPCIÓN ENTRADA DEL CENTRO CENTRO DE DIA PEÑAGRANDE 2;438873;4480667;8-19;2020-253
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Néctar 0  ;28022;DENTRO DEL DEPOSITO DE METRO DE CANILLEJAS ENTRADA EDIFICIO FORMACIÓN;448421;4477237;;2019-16
Instalaciones de transporte;Pública;092;Móstoles;https://www.wikidata.org/wiki/Q187826;Calle Del Río Sella 0  ;28934;DENTRO ESTACIÓN METRO HOSPITAL DE MOSTOLES EN EL VESTÍBULO;425684;4463238;;2018-3146
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Barajas Terminal T2 Sn  ;28042;DENTRO DE LA ESTACION AEROPUERTO T1T2T3. VESTIBULO PRINCIPAL;451565;4479877;6:00 A 1:30;2018-2760
Otros;Privada;065;Getafe;https://www.wikidata.org/wiki/Q8802;Calle Gutenberg 20  ;28906;ELIS MANOMATIC ;440532;4460678;7-*23;2019-558
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Marqués Del Duero 5 1 ;28001;FUNDACION ESPAÑOLA DE REUMATOLOGÍA ;441349;4474659;;2020-643
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Manoteras 46  ;28050;digitex informatica ;443764;4482065;;2018-1976
Centro educativo;Privada;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Avda Andraitx 1  ;28290;CENTROS DOCENTES,S.A. ;423721;4487309;;2019-442
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Marqués De La Valdavia 21  ;28012;DENTRO DE LA ESTACION DE METRO DE MARQUES DE LA VALDAVIA, EN EL V ESTIBULO DE M. DE LA VALDAVIA;446027;4488014;;2018-3065
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Hermosilla 127 Baja ;28009;OFICINAS CENTRALES EL CORTE INGLÉS;443132;4475230;24 HORAS;2020-657
Centro educativo;Privada;144;Soto del Real;https://www.wikidata.org/wiki/Q53697;Calle Real 21  ;28791;ENTRADA AL POLIDEPORTIVO DESDE PASILLO CENTRAL DELCOLEGIO COLEGIO SALESIANOS EL PILAR;433695;4511837;24 H;2019-59
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Jazmín 66  ;28033;MUSAAT MUTUA DE SEGUROS A PRIMA FIJA ;443809;4481449;;2020-667
Otros;Privada;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Punto Mobi 5  ;28805;poligono industrial inbisa ;471170;4485110;08:00-15:00;2019-2816
Otros;Privada;134;San Sebastián de los Reyes;https://www.wikidata.org/wiki/Q484717;Avda De Somosierra 22  ;28703;POLIGONO INDUSTRIAL INBISA - ENTRADA NAVE ;447991;4489432;08:00 - 15:00;2019-2817
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Medina De Pomar 27 0 ;28042;HAYA REAL ESTATE SAU ;450384;4478257;;2019-710
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Medina De Pomar 27 2 ;28042;PLANTA 2 ;450384;4478257;;2019-712
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Castellana 31 Baja ;28032;JUNTO A RECEPCIÓN MUTUA MADRILEÑA AUTOMOVILISTA;441489;4475869;24 H;2017-428
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Principal De Provincias 20  ;28011;RECINTO FERIAL DE LA CASA CAMPO, TEATRO AUDITORIO, HALL DE ENTRAD .CRISTAL. MADRID, DESTINO CULTURA TURISMO Y NEGOCIIO;437374;4473754;24 H 365D;2019-2904
Establecimiento público con aforo igual o superior a 2000 personas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Principal De Provincias 16  ;28011;RECINTO FERIAL DE LA CASA CAMPO, SATELITE, PUERTA NORTE, HALL MADRID DESTINO CULTURA, TURISMO Y NEGOCIO;437374;4473754;24 H 365 D;2019-2905
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Mayor 71  ;28013;SECRETARIA GENERAL DEL PLENO ;439629;4474090;7:30 a 21:00;2020-9
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza De La Villa 4  ;28005;SECRETARIA GENERAL DEL PLENO ;439724;4474051;7:30 a 21:00;2020-10
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Aduana 29  ;28013;HALL PRINCIPAL ;440599;4474448;24 H;2020-129
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Oporto 2  ;28019;DENTRO DE LA ESTACIÓN DE PLAZA ELIPTICA EN PASILLO NIVEL INTERMEDIO DE ACCESO ANDENES LÍNEA 6;439015;4470769;;2018-3121
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Dentro De La Estación De Opañel, En Vestíbulo 98  ;28019;;438599;4470925;;2020-276
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Génova 29  ;28004;DENTRO DE LA ESTACIÓN DE COLON EN EL VESTÍBULO;441328;4475240;;2018-2976
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Retama 1 Sexta ;28045;PLANTA 6 - ERICSSON ;442741;4471792;;2017-221
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De La Retama 1 12ª ;28045;PLANTA 12 - ERICSSON ;442741;4471792;;2017-222
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Vía De Los Poblados 13 Baja ;28033;EDIFICIO B - PLANTA BAJA ERICSSON;446364;4480524;;2017-225
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Vía De Los Poblados 13 3ª ;28033;EDIFICIO B- PLANTA TERCERA ERICSSON;446364;4480524;;2017-224
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Dentro De La Estación De Casa De Campo, En Vestíbulo 0  ;28011;;435424;4472796;;2020-183
Establecimiento hotelero con más de 100 plazas;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Sevilla 3 -4 ;28014;sótano -4, muelle de carga - acceso con vehículo por C/ Alcalá, 1 6 junto a Metro Sevilla;440586;4474292;24/7 365 dias al año;2020-591
Otros;Privada;053;Daganzo de Arriba;https://www.wikidata.org/wiki/Q1772173;Cmno Ancho 44  ;28814;PRODUCTOS JESUS,S.L. POLIGONO INDUSTRIAL GITESA;461062;4487740;7-18;2020-599
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Don Ramón De La Cruz 38  ;28001;LOOM SALAMANCA. SALA PRINCIPAL ;442167;4475588;24 h;2020-605
Centro educativo;Pública;099;Navas del Rey;https://www.wikidata.org/wiki/Q1772241;Avda Olímpica 0  ;28695;C/ VIA OLIMPICA S/N, 28695, NAVAS DEL REY PASILLO ENFERMERIA;393916;4471735;;2019-2146
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;172;Villalbilla;https://www.wikidata.org/wiki/Q1646224;Ctra Villalbilla-valdeláguila 1  ;28810;COMPLEJO POLIDEPORTIVO MUNICIPAL ARROYO DEL TESORO ENTRADA AL LAD O DE RECEPCION;474836;4476379;10-22;2020-614
Establecimiento dependiente de una Administración Pública;Pública;172;Villalbilla;https://www.wikidata.org/wiki/Q1646224;Calle Grecia 6  ;28810;CENTRO DEPORTIVO PEÑAS ALBAS - RESTAURANTE ;468874;4477409;10-24;2020-615
Otros;Privada;123;Rivas-Vaciamadrid;https://www.wikidata.org/wiki/Q644481;Calle Mirador 2  ;28521;POLIDEPORTIVO PARQUE DEL SURESTE. SERVICIO MÉDICO ESPECIALIDADES MÉDICAS LIBREROS S.L. EMSALUD;456530;4463824;;2019-2698
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Julián Camarillo 42 2º ;28037;Empresa Intecsa-Inarsa ;447362;4476511;7.30-20.30;2018-546
Otros;Privada;031;Cadalso de los Vidrios;https://www.wikidata.org/wiki/Q1648736;Ctra Exterior Sede Social 11  ;28640;;378840;4462667;;2019-2961
Centro de trabajo con más de 250 trabajadores;Privada;065;Getafe;https://www.wikidata.org/wiki/Q8802;Paseo De John Lennon 4  ;28906;Garita de entrada. Entrada a la planta por calle Diesel ;440050;4461794;24 HORAS;2018-2320
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Vía De Los Poblados 3  ;28033;ENTRADA A LAS OFICINAS ;446250;4480747;10-18;2020-283
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Velázquez 92  ;28006;DENTRO DE LA ESTACIÓN NUÑEZ DE BALBOA EN EL VESTIBULO JUAN BRAVO;442060;4476019;;2018-2762
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Francisco Altimiras 4  ;28028;PLANTA 0 AL LADO DE RECEPCIÓN RESIDENCIA MUNICIPAL DE MAYORES;443712;4476152;8-18;2020-325
Otros;Privada;014;Arganda del Rey;https://www.wikidata.org/wiki/Q497692;Cmno De Pajares Y Del Porcal 21  ;28500;Edificio de producción, junto a oficina ;459496;4461090;L-V 24h sabado hasta15 h;2020-333
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Del Apóstol Santiago 72  ;28017;COLEGIO NTRA.SRA. DE LAS VICTORIAS ;444488;4475565;8:: A 19:00 H;2018-2758
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Alcalá   ;28027;RECEPCIÓN PLANTA BAJA ;444251;4475919;;2018-1091
Centro de trabajo con más de 250 trabajadores;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Alcalá 265  ;28027;HALL DE ENTRADA 2ª planta edificio 1;444252;4475920;;2018-1365
Establecimiento dependiente de una Administración Pública;Pública;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Calle Juan Barjola 0  ;28231;BIBLIOTECA DE LAS ROZAS AYUNTAMIENTO DE LAS ROZAS;426377;4482338;;2020-701
Establecimiento dependiente de una Administración Pública;Pública;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Avda Polideportivo 18  ;28231;"AUDITORIO ""JOAQUÍN RODRIGO"" AYUNTAMIENTO LAS ROZAS";425652;4483092;;2020-703
Establecimiento dependiente de una Administración Pública;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda Reyes Católicos 9  ;28802;JUNTA DISTRITO II - HALL PRINCIPAL ATENCIÓN PUBLICO ;468334;4480817;8 a 15H;2019-882
Establecimiento dependiente de una Administración Pública;Pública;127;Las Rozas de Madrid;https://www.wikidata.org/wiki/Q592747;Plaza José Prat 1  ;28290;BIBLIOTECA LAS MATAS AYUNTAMIENTO DE MADRID;424312;4489130;;2020-707
Establecimiento dependiente de una Administración Pública;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Bosnia-herzegovina 6  ;28802;PARQUE MUNICIPAL DE SERVICIOS ;467808;4481275;24 HORAS;2018-1435
Establecimiento dependiente de una Administración Pública;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Santiago 13  ;28801;CENTRO MUNICIPAL DE SALUD. CASA DE SOCORRO ;468813;4481427;L-D 24 HORAS;2018-1437
Otros;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Calle Costa Rica 2  ;28806;POLIGONO INDUSTRIAL LA PEÑA - NAVE 2 ;466045;4483922;;2019-822
Centro de trabajo con más de 250 trabajadores;Privada;123;Rivas-Vaciamadrid;https://www.wikidata.org/wiki/Q644481;Calle Planta Baja Junto Entrada Fábrica 2  ;28521;;455186;4464935;24H;2019-2928
Otros;Privada;148;Torrejón de Ardoz;https://www.wikidata.org/wiki/Q489839;Calle Mario Vargas Llosa 17  ;28850;Pasillo de Báscula frente al Botiquín ;463463;4480803;;2019-2933
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Zona Común, Al Lado De Los Cuartos De Baño De La Finca 25  ;28051;;448126;4468722;;2019-2938
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Partenón 0  ;28042;DENTRO DEL CENTRO DE TECNOLOGIAS DE LAINFORMACION VESTIBULO NIVEL - 1;448026;4479457;;2018-2848
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Vía Carpetana 328  ;28047;DENTRO ESTACION DE CARPETANA, EN VESTIBULO CARPETANA ;437083;4471615;;2018-3132
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Amparo Usera 46  ;28026;DENTRO ESTACIÓN USERA EN ANDÉN II L6 PROXIMO A PIÑON DE ENTRADA;440025;4470954;;2018-3156
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Pública;026;Brunete;https://www.wikidata.org/wiki/Q1647090;Calle Remedios 6  ;28690;VESTUARIO ARBITRO ;415137;4473393;SEGUN ACTIVIDAD;2020-342
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Del Padre Piquer 8  ;28024;DENTRO ESTACION CAMPAMENTO, EN VESTIBULO ;434788;4471833;;2018-3033
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;123;Rivas-Vaciamadrid;https://www.wikidata.org/wiki/Q644481;Paseo De Las Provincias 3  ;28523;C.P. CENTRO COMERCIAL COVIBAR 2 ;454703;4469548;;2019-813
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Princesa De Éboli 9  ;28050;AL LADO DE CONSERJERÍA ;444534;4482218;;2019-2406
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle Patio Central Entre Portal B Y C. En La Pared 11  ;;ADMÓN DE FINCAS AGA ANTONAYA;444529;4480851;;2018-2073
Centro educativo;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Dolores Barranco 65 Baja ;28026;COLEGIO SAN LUIS FELCA ;439803;4470486;;2018-2344
Otros;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Custa De San Vicente 4 5 ;28004;COLEGIO OFICIAL DE PSICÓLOGOS DE MADRID ;439450;4474819;VARIABLE EN FUNCIÓN HORARIOS APERTURA EMPRESA;2017-81
Grandes establecimientos comerciales con una superficie superior a 2500 m2;Privada;079;Madrid;https://www.wikidata.org/wiki/Q2807;Plaza El Corte Ingles S/n  ;;APARCAMIENTO FELIPE II CAJEROS PRINCIPALES;442877;4475070;24 HorS;2020-649
Centro educativo;Privada;007;Alcorcón;https://www.wikidata.org/wiki/Q10372;Plaza De Santiago De Compostela 1  B;28924;EN LA SALA DE PROFESORES DEL PABELLÓN DE SECUNDARIA Y BACHILLERAT COLEGIO AMOR DE DIOS ALCORCÓN;430755;4467099;24 H;2018-1952
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda De Manoteras 54 1 ;28050;B.O.E. PUERTA 121/109;444046;4481994;;2020-650
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De José Abascal 24  ;28003;DENTRO DE ESTACION DE METRO ALONSO CANO EN VESTIBULO ;440774;4476638;;2018-2913
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Albarracín 33  ;28037;3ª PLANTA ;446469;4475980;;2020-348
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Albarracín 33  ;28037;1ª PLANTA ;446469;4475980;;2020-349
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Albarracín 33  ;28037;PLANTA BAJA ;446469;4475980;;2020-350
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 5 DISPOSITIVO MOVIL;442158;4481299;05:00-00:30;2020-369
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 6 DISPOSITIVO MOVIL;442158;4481299;05:00-00:30;2020-370
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 7 DISPOSITIVO MOVIL;442158;4481299;05:00-00:30;2020-371
Otros;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Calle De Mauricio Legendre 42  ;28046;AUTOBUS 8 DISPOSITIVO MOVIL;442158;4481299;05:00-00:30;2020-372
Otros;Privada;049;Coslada;https://www.wikidata.org/wiki/Q164197;Calle Océano Atlántico 8  ;28821;AL LADO GARITA CONSERJERIA ;451492;4474356;;2020-573
Establecimiento dependiente de una Administración Pública;Pública;005;Alcalá de Henares;https://www.wikidata.org/wiki/Q46940;Avda De Meco 1  ;28805;AYUNTAMIENTO ALCALA DE HENARES GUARDIA CIVIL;469639;4482451;;2020-715
Instalaciones de transporte;Pública;079;Madrid;https://www.wikidata.org/wiki/Q2807;Avda Dentro De La Estacion De Metro De Montecarmelo,en El Vestibulo 63  ;28049;;441041;4484070;;2018-2999
